Country,ISO3,mang_km2_00,loss_km2_00_05,loss_km2_05_10,loss_km2_10_16,erosion_loss_km2_00_05,ewe_loss_km2_00_05,commodities_loss_00_05,npc_loss_00_05,settlement_loss_00_05,erosion_loss_km2_05_10,ewe_loss_km2_05_10,commodities_loss_05_10,npc_loss_05_10,settlement_loss_05_10,erosion_loss_km2_10_16,ewe_loss_km2_10_16,commodities_loss_10_16,npc_loss_10_16,settlement_loss_10_16
Qatar,QAT,5,0,0,0.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02,0
Saudi Arabia,SAU,104.19,0.85,0.5,0.16,0.21,0.5,0,0.14,0,0.2,0.11,0.1,0.09,0,0.04,0.02,0.01,0.1,0
Senegal,SEN,2016.57,0.38,0.34,0.18,0.33,0.01,0.01,0.04,0,0.28,0,0,0.06,0,0.18,0,0,0.01,0
Sierra Leone,SLE,1770.38,1.13,2.53,1.87,0.04,0,0.03,0.84,0.21,0.07,0,0.06,2.14,0.26,0.32,0,0.01,1.4,0.14
Singapore,SGP,7.57,0.04,0,0,0.02,0.02,0,0,0,0,0,0,0,0,0,0,0,0,0
Solomon Islands,SLB,614.47,0.72,0.48,0.31,0.33,0.34,0,0.05,0,0.16,0.28,0,0.04,0,0.1,0.19,0,0.02,0
Somalia,SOM,39.29,0.01,0.02,0,0,0,0,0.01,0,0,0,0,0.02,0,0,0,0,0,0
South Africa,ZAF,19.3,0.05,0.05,0.02,0.03,0,0,0.03,0,0.03,0,0,0.02,0,0.02,0,0,0,0
Sri Lanka,LKA,338.61,2.25,0.15,0.05,0.34,0,1.37,0.51,0.04,0.02,0,0.05,0.08,0,0,0,0,0.05,0
Suriname,SUR,971.31,30.03,16.01,10.97,6.71,8.27,13.94,1.11,0,6.52,3.28,4.27,1.95,0,5.07,1.51,2.02,2.37,0
"Tanzania, United Republic of",TZA,1222.2,3.03,3.41,1.71,0.47,0.93,0.3,1.02,0.31,0.45,1.35,0.39,1.09,0.12,0.16,0.93,0.15,0.47,0.01
Thailand,THA,2933.32,22.1,8,4.7,4.13,0.01,13.9,1.06,3,1.17,0,4.66,0.25,1.93,0.69,0,3.13,0.11,0.78
The Bahamas,BHS,1028.62,6.64,7.36,9.15,3.58,1.24,0,1.82,0,5.01,1.69,0,0.65,0.01,6.01,2.3,0,0.84,0
Togo,TGO,2.3,0,0.01,0,0,0,0,0,0,0.01,0,0,0,0,0,0,0,0,0
Trinidad and Tobago,TTO,70.71,0.31,0.5,0.53,0.1,0,0,0.11,0.09,0.11,0.12,0,0.2,0.07,0.06,0.01,0.01,0.43,0.03
United Arab Emirates,ARE,211.79,0.86,0.1,0,0.16,0,0,0.69,0.01,0,0,0,0.09,0.01,0,0,0,0,0
United States,USA,2723.05,4.32,5.05,0.19,1.07,1.29,0.07,1.29,0.6,2.18,1.44,0.11,1.04,0.28,0.03,0,0,0.13,0.03
Venezuela,VEN,2686.2,14.04,8.87,9.65,10.95,1.76,0.13,1.2,0,6.76,1.2,0.11,0.78,0.03,6.84,1,0.08,1.6,0.13
Vietnam,VNM,2579.83,129.81,50.76,25.77,36.01,0.17,86.04,4.18,3.41,15.61,0,31.87,1.25,2.02,15.38,0.01,9.51,0.37,0.5
